technology,carrier,node,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,Aluminium,AUS,0,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,1,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,2,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,3,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,4,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,5,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,6,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,7,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,8,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,9,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,10,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,11,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,12,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUS,13,60.0,60.0,60.0,60.0,60.0
Aluminium_production,Aluminium,AUT,0,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,1,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,2,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,3,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,4,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,5,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,6,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,7,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,8,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,9,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,10,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,11,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,12,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,AUT,13,19.64,19.64,19.64,19.64,19.64
Aluminium_production,Aluminium,BRA,0,32.44,32.44,32.44,32.44,32.44
Aluminium_production,Aluminium,BRA,1,32.44,32.44,32.44,32.44,32.44
Aluminium_production,Aluminium,BRA,2,32.44,32.44,32.44,32.44,32.44
Aluminium_production,Aluminium,BRA,3,32.44,32.44,32.44,32.44,32.44
